日期,open,high,low,收盘,volume,amount,outstanding_share,turnover
2020-03-02,10.07,10.39,10.07,10.37,45517819.0,748986045.0,16491037955.0,0.002760154886806214
2020-03-03,10.49,10.5,10.36,10.47,44749730.0,747712509.0,16491037955.0,0.002713578740289789
2020-03-04,10.41,10.52,10.35,10.44,26293876.0,438830142.0,16491037955.0,0.0015944342661601738
2020-03-05,10.47,10.69,10.42,10.65,51946465.0,880177583.0,16491037955.0,0.003149981531893212
2020-03-06,10.56,10.6,10.46,10.47,27765778.0,467448984.0,16491037955.0,0.0016836889270260612
2020-03-09,10.24,10.26,10.12,10.17,37708888.0,614699293.0,16491037955.0,0.0022866291438354766
2020-03-10,10.11,10.4,10.11,10.34,27085718.0,445116208.0,16491037955.0,0.0016424507707707837
2020-03-11,10.32,10.4,10.26,10.26,18357018.0,303224983.0,16491037955.0,0.0011131511582285968
2020-03-12,10.21,10.22,10.1,10.16,17786408.0,289215796.0,16491037955.0,0.0010785499401878007
2020-03-13,9.91,10.14,9.82,10.01,28696974.0,456651998.0,16491037955.0,0.0017401557184154816
2020-03-16,10.07,10.22,9.92,9.95,33365118.0,538017146.0,16491037955.0,0.0020232272881212953
2020-03-17,9.98,10.16,9.74,9.81,33532657.0,529392726.0,16491037955.0,0.0020333866850287046
2020-03-18,9.86,9.89,9.69,9.69,31533791.0,495344146.0,16491037955.0,0.0019121774557822246
2020-03-19,9.68,9.68,8.97,9.23,54685346.0,810917193.0,16491037955.0,0.0033160645284561773
2020-03-20,9.31,9.41,9.19,9.3,29688464.0,441684509.0,16491037955.0,0.001800278677486071
2020-03-23,9.04,9.37,9.01,9.23,24546212.0,361705907.0,16491037955.0,0.0014884576742216346
2020-03-24,9.39,9.8,9.35,9.73,42546804.0,650667724.0,16491037955.0,0.0025799955173288545
2020-03-25,9.86,9.91,9.74,9.79,23100969.0,362994821.0,16491037955.0,0.0014008195883750242
2020-03-26,9.75,10.02,9.72,9.96,27091553.0,429933815.0,16491037955.0,0.0016428045993178966
2020-03-27,10.04,10.19,9.95,10.16,25554077.0,413260220.0,16491037955.0,0.0015495735968670263
2020-03-30,10.05,10.52,9.97,10.36,63218087.0,1048076301.0,16491037955.0,0.0038334813837980763
2020-03-31,10.41,10.41,10.13,10.14,24315750.0,398616847.0,16491037955.0,0.0014744826897101152
2020-04-01,10.12,10.23,9.97,9.99,21911409.0,353596120.0,16491037955.0,0.001328685863181618
2020-04-02,9.93,10.17,9.91,10.15,16966028.0,273497180.0,16491037955.0,0.001028802919882674
2020-04-03,10.04,10.18,10.04,10.07,12347987.0,199683229.0,16491037955.0,0.0007487695458402697
2020-04-07,10.22,10.22,10.07,10.08,24022681.0,388921359.0,16491037955.0,0.0014567112795175177
2020-04-08,10.06,10.1,10.01,10.08,13099060.0,210625828.0,16491037955.0,0.0007943138591848569
2020-04-09,10.11,10.11,9.99,9.99,12323749.0,197921024.0,16491037955.0,0.0007472997778325712
2020-04-10,10.04,10.04,9.91,9.92,13698784.0,218081633.0,16491037955.0,0.0008306805209824041
2020-04-13,9.89,9.97,9.87,9.9,10374409.0,164559223.0,16491037955.0,0.0006290937555482693
2020-04-14,9.88,10.12,9.88,10.1,20372803.0,327660475.0,16491037955.0,0.0012353863386642117
2020-04-15,10.14,10.14,9.92,9.95,16659913.0,266735394.0,16491037955.0,0.0010102404133360689
2020-04-16,9.92,10.04,9.91,9.99,10667520.0,170354789.0,16491037955.0,0.0006468677125787381
2020-04-17,10.02,10.07,9.98,10.01,16063007.0,257678702.0,16491037955.0,0.000974044632231883
2020-04-20,10.0,10.01,9.9,9.94,16388533.0,260890831.0,16491037955.0,0.0009937842023479838
2020-04-21,9.87,9.9,9.51,9.6,43775350.0,675948966.0,16491037955.0,0.0026544933144567492
2020-04-22,9.54,9.65,9.49,9.61,14802904.0,227259947.0,16491037955.0,0.0008976332502777264
2020-04-23,9.61,9.64,9.53,9.56,12966186.0,198754493.0,16491037955.0,0.0007862565131061818
2020-04-24,9.55,9.61,9.45,9.47,16814231.0,256182199.0,16491037955.0,0.0010195981020650073
2020-04-27,9.52,9.62,9.5,9.57,13799747.0,211695497.0,16491037955.0,0.0008368028160299023
2020-04-28,9.61,9.64,9.41,9.6,18769483.0,287007812.0,16491037955.0,0.001138162622099186
2020-04-29,9.59,9.84,9.57,9.77,20639299.0,322188527.0,16491037955.0,0.0012515463887912688
2020-04-30,9.82,9.97,9.79,9.95,22938363.0,364632557.0,16491037955.0,0.0013909593236394926
2020-05-06,9.79,9.86,9.73,9.85,23925718.0,374530843.0,16491037955.0,0.0014508315404577576
2020-05-07,9.82,9.87,9.7,9.85,23814721.0,372821157.0,16491037955.0,0.0014441007937150189
2020-05-08,9.86,9.94,9.77,9.91,21485221.0,339296057.0,16491037955.0,0.0013028422503560966
2020-05-11,9.9,9.96,9.84,9.92,19052804.0,302145885.0,16491037955.0,0.0011553429233496662
2020-05-12,9.93,10.02,9.91,9.97,22012152.0,351427387.0,16491037955.0,0.0013347948176497906
2020-05-13,9.96,9.99,9.88,9.93,15405966.0,244769701.0,16491037955.0,0.000934202325047041
2020-05-14,9.95,9.96,9.9,9.91,12098259.0,192238567.0,16491037955.0,0.0007336262904138104
2020-05-15,9.91,10.09,9.9,10.01,21738123.0,348220702.0,16491037955.0,0.001318177973958826
2020-05-18,10.07,10.12,9.96,10.02,17638090.0,284175704.0,16491037955.0,0.001069556085440469
2020-05-19,10.12,10.34,10.12,10.3,32434528.0,532688664.0,16491037955.0,0.001966797243964017
2020-05-20,10.3,10.34,10.17,10.22,16451895.0,269816156.0,16491037955.0,0.0009976264104717477
2020-05-21,10.26,10.27,10.12,10.12,14205797.0,231731363.0,16491037955.0,0.0008614252807351568
2020-05-22,10.16,10.16,9.94,9.94,18901137.0,302890887.0,16491037955.0,0.001146145988601601
2020-05-25,10.06,10.1,9.95,10.06,10508427.0,168887149.0,16491037955.0,0.0006372204726394373
2020-05-26,10.11,10.17,10.02,10.06,13826810.0,222927595.0,16491037955.0,0.0008384438892039406
2020-05-27,10.06,10.27,10.0,10.27,20482184.0,334065802.0,16491037955.0,0.0012420190927879046
2020-05-28,10.25,10.36,10.21,10.27,16730482.0,275878676.0,16491037955.0,0.0010145196467107398
2020-05-29,10.27,10.28,10.17,10.23,17641355.0,288645041.0,16491037955.0,0.0010697540717654603
2020-06-01,10.21,10.37,10.21,10.34,22446831.0,369978639.0,16491037955.0,0.001361153316198283
2020-06-02,10.31,10.35,10.29,10.33,15594975.0,257615566.0,16491037955.0,0.0009456636412186343
2020-06-03,10.39,10.48,10.37,10.41,23207565.0,387834650.0,16491037955.0,0.0014072834628922543
2020-06-04,10.46,10.47,10.17,10.24,25025458.0,412201471.0,16491037955.0,0.001517518670946507
2020-06-05,10.25,10.27,10.15,10.23,14362445.0,234549035.0,16491037955.0,0.0008709242583269526
2020-06-08,10.3,10.42,10.27,10.4,27695403.0,458638740.0,16491037955.0,0.0016794214576167955
2020-06-09,10.43,10.59,10.41,10.59,22922431.0,385481679.0,16491037955.0,0.0013899932231403321
2020-06-10,10.6,10.62,10.43,10.45,22626761.0,380252361.0,16491037955.0,0.0013720640909167079
2020-06-11,10.44,10.48,10.19,10.24,39275181.0,647152233.0,16491037955.0,0.0023816075802610085
2020-06-12,10.12,10.22,10.06,10.17,45319971.0,733955436.0,16491037955.0,0.0027481575825407164
2020-06-15,10.11,10.12,9.86,9.89,35560103.0,523880003.0,16491037955.0,0.002156328976807573
2020-06-16,9.98,9.99,9.89,9.92,21953589.0,321642906.0,16491037955.0,0.0013312436160723153
2020-06-17,9.9,10.01,9.86,9.99,18642313.0,274130872.0,16491037955.0,0.0011304511608590255
2020-06-18,10.0,10.22,9.93,10.13,32350997.0,483466676.0,16491037955.0,0.001961732007911081
2020-06-19,10.15,10.25,10.08,10.13,23836202.0,357479856.0,16491037955.0,0.0014454033800081689
2020-06-22,10.12,10.16,9.99,10.01,21835813.0,324635559.0,16491037955.0,0.0013241017975693574
2020-06-23,10.02,10.02,9.9,9.92,16390672.0,240294551.0,16491037955.0,0.0009939139091624267
2020-06-24,9.95,10.03,9.88,9.94,16662190.0,245172960.0,16491037955.0,0.0010103784883320887
2020-06-29,9.92,9.92,9.74,9.74,24497955.0,353931099.0,16491037955.0,0.0014855314181465662
2020-06-30,9.78,9.82,9.69,9.72,27599958.0,396334407.0,16491037955.0,0.0016736337685543821
2020-07-01,9.74,9.99,9.73,9.98,30919881.0,451583169.0,16491037955.0,0.0018749505691741644
2020-07-02,9.98,10.25,9.95,10.23,43545377.0,651023401.0,16491037955.0,0.0026405479824147308
2020-07-03,10.24,10.84,10.24,10.75,79762419.0,1252632999.0,16491037955.0,0.004836713081229458
2020-07-06,10.75,11.44,10.75,11.44,101830365.0,1685679212.0,16491037955.0,0.006174891191074213
2020-07-07,11.68,11.98,11.37,11.47,106417387.0,1831377065.0,16491037955.0,0.006453043604070706
2020-07-08,11.34,11.5,11.12,11.41,73468356.0,1229825004.0,16491037955.0,0.004455047414266897
2020-07-09,11.41,11.75,11.35,11.54,65887941.0,1120619378.0,16491037955.0,0.003995378652319644
2020-07-10,11.51,11.51,11.12,11.14,49748009.0,826384759.0,16491037955.0,0.0030166693652485745
2020-07-13,11.1,11.37,10.98,11.24,51698533.0,855096067.0,16491037955.0,0.003134947184105247
